-162.249,-69.859,120
-162.22,-71.859,120
-162.154,-73.858,120
-162.048,-75.855,120
-161.892,-77.849,120
-161.671,-79.836,120
-161.397,-81.817,120
-161.063,-83.789,120
-160.665,-85.748,120
-160.196,-87.692,120
-159.651,-89.617,120
-159.023,-91.515,120
-158.307,-93.383,120
-157.5,-95.213,120
-156.597,-96.997,120
-155.594,-98.727,120
-154.492,-100.396,120
-153.29,-101.994,120
-151.992,-103.514,120
-150.6,-104.949,120
-149.12,-106.294,120
-147.559,-107.543,120
-145.925,-108.695,120
-144.222,-109.743,120
-142.46,-110.688,120
-140.65,-111.538,120
-138.8,-112.296,120
-136.916,-112.966,120
-135.004,-113.553,120
-133.07,-114.062,120
-131.119,-114.498,120
-129.153,-114.866,120
-127.177,-115.17,120
-125.192,-115.416,120
-123.202,-115.609,120
-121.207,-115.752,120
-119.209,-115.849,120
-117.21,-115.904,120
-115.21,-115.921,120
-113.21,-115.901,120
-111.211,-115.847,120
-109.213,-115.759,120
-107.217,-115.642,120
-105.222,-115.501,120
-103.229,-115.335,120
-101.237,-115.147,120
-99.249,-114.937,120
-97.262,-114.704,120
-95.278,-114.454,120
-93.296,-114.188,120
-91.315,-113.907,120
-89.338,-113.609,120
-87.362,-113.296,120
-85.389,-112.972,120
-83.417,-112.638,120
-81.448,-112.29,120
-79.48,-111.932,120
-77.514,-111.565,120
-75.549,-111.191,120
-73.586,-110.806,120
-71.625,-110.415,120
-69.665,-110.018,120
-67.706,-109.615,120
-65.748,-109.205,120
-63.792,-108.791,120
-61.836,-108.373,120
-59.881,-107.95,120
-57.927,-107.524,120
-55.974,-107.095,120
-54.021,-106.664,120
-52.068,-106.231,120
-50.116,-105.796,120
-48.164,-105.361,120
-46.212,-104.925,120
-44.26,-104.488,120
-42.308,-104.052,120
-40.356,-103.617,120
-38.404,-103.183,120
-36.451,-102.751,120
-34.498,-102.32,120
-32.544,-101.893,120
-30.59,-101.467,120
-28.635,-101.046,120
-26.679,-100.629,120
-24.722,-100.215,120
-22.764,-99.806,120
-20.805,-99.403,120
-18.845,-99.005,120
-16.884,-98.612,120
-14.922,-98.228,120
-12.958,-97.851,120
-10.992,-97.479,120
-9.025,-97.118,120
-7.057,-96.766,120
-5.086,-96.421,120
-3.114,-96.088,120
-1.14,-95.766,120
0.835,-95.454,120
2.812,-95.153,120
4.792,-94.869,120
6.773,-94.596,120
8.756,-94.336,120
10.741,-94.092,120
12.728,-93.866,120
14.717,-93.656,120
16.708,-93.461,120
18.7,-93.288,120
20.695,-93.137,120
22.69,-93.004,120
24.687,-92.893,120
26.685,-92.805,120
28.684,-92.747,120
30.684,-92.714,120
32.684,-92.706,120
34.684,-92.726,120
36.683,-92.781,120
38.681,-92.872,120
40.677,-92.996,120
42.67,-93.155,120
44.66,-93.352,120
46.646,-93.589,120
48.626,-93.873,120
51.099,-94.292,120,0
51.099,-94.292,0,0
